contig_73	1	71139	NC_040010.1	71139	3932	3931
contig_75	1	943830	CP050292.1	943830	1395974	41294
contig_76	1	40214	CP043307.1	40214	469	468
contig_77	1	2592814	CP041399.1	2592814	1395974	41294
contig_79	1	1747	CP003084.1	1747	1912216	31957
contig_81	1	1747	CP012350.1	1747	1912216	31957
contig_82	1	129951	KF429754.1	129951	10509	10508
contig_83	1	2592815	CP041400.1	2592815	1395974	41294
contig_84	1	943830	CP050292.1	943830	1395974	41294
contig_85	1	40214	CP037424.1	40214	469	468
contig_86	1	1404888	CP050022.1	1404888	374	41294
contig_87	1	71139	NC_040010.1	71139	3932	3931
contig_9	1	40214	CP037424.1	40214	469	468
contig_90	1	943830	CP050292.1	943830	1395974	41294
contig_91	1	40214	CP065666.1	40214	469	468
contig_92	1	943830	CP050292.1	943830	1395974	41294
contig_93	1	40214	CP037424.1	40214	469	468
contig_94	1	943830	KT955714.1	943830	1395974	41294
contig_95	1	943830	CP050292.1	943830	1395974	41294
contig_96	1	334460	MT975437.1	334460	178174	3931
contig_98	1	943830	CP050292.1	943830	1395974	41294
2ba058f6-a0e0-4a30-8257-20733c037e6e	1	40214	CP031011.1	40214	469	468
e629597f-7990-4946-b85e-e8340f946d5b	1	129951	M73260.1	129951	10509	10508
7475be4e-0662-4b9a-90ea-f55069209382	1	1938607	CP019511.1	1938607	13687	41297
122421ad-5cf6-4ef6-89b4-ff61ee9dd2c4	1	40214	CP031011.1	40214	469	468
128a4e53-fb60-48e0-bec7-860a869bbb7c	1	943830	CP050292.1	943830	1395974	41294
06e355d9-a337-47d7-b69a-fa4e0ee3df2e	1	56689	CP062008.1	56689	1866885	1762
e24cdeb9-58df-4517-ac71-10a827f11cf0	1	129951	AY601635.1	129951	10509	10508
d5db3a97-812b-4f50-be3d-170859a18537	1	1961362	CP015521.1	1961362	13687	41297
9eeab4b3-11c1-41ff-ad94-1dfaad131cb3	1	2592814	CP041399.1	2592814	1395974	41294
54aec58c-2329-41c7-8f8f-1335318413dc	1	1327635	CP024923.1	1327635	13687	41297
c0c1f077-e8ce-4ef6-9815-aba83da84935	1	2592814	CP041399.1	2592814	1395974	41294
4083c54a-fbca-4f8a-98da-8d2c2a95accf	1	943830	CP050292.1	943830	1395974	41294
cbbb19f2-8a6d-48b4-9f33-4ccb42a282c9	1	40214	CP065666.1	40214	469	468
20de1c55-80ce-494a-b3c1-d4a7b7f91dac	1	1560345	CP014169.1	1560345	13687	41297
a7e655de-c435-4851-8893-25b76792c06c	1	943830	CP050292.1	943830	1395974	41294
fa6d7619-33df-42aa-8828-c9dda096d6b9	1	943830	CP050292.1	943830	1395974	41294
0c4b7b02-054e-4057-9b48-c7ea1778b58a	1	219896	XM_030586073.1	219896	178174	3931
af8499ab-d159-4d6a-9f48-fd5bd7eb137c	1	1747	AE017283.1	1747	1912216	31957
d7f4dbee-17ac-4bef-8d9e-dc2bd86fa103	1	943830	CP050292.1	943830	1395974	41294
dfe2b150-bbd9-45f7-a689-8c5511155ec7	1	943830	CP050292.1	943830	1395974	41294
c099e35a-fde7-40c8-9081-ad22aa97a9a8	1	943830	CP050292.1	943830	1395974	41294
804114a2-ff2b-4af6-b390-bf07fce92103	1	352858	CP030028.1	352858	1386	186817
123632ff-522e-4dec-b956-167936eade2a	1	29430	CP032137.1	29430	469	468
4c0f4ef8-31a2-46bc-aeb0-c1910b657131	1	943830	CP050292.1	943830	1395974	41294
c66dc7fb-8a93-4345-a5e0-ed2f36a1515f	1	40214	CP037424.1	40214	469	468
fa9553c6-3438-4a44-8084-34df1e98225b	1	2743575	CP055277.1	2743575	469	468
61b562b7-fb79-4e7b-83b1-c6571047d3d0	1	943830	CP050292.1	943830	1395974	41294
9766b224-01cf-4d2a-a3b6-f49163b45cad	1	943830	CP050292.1	943830	1395974	41294
0be64af3-a60f-4ac7-a03e-25e9196d0eef	1	943830	CP050292.1	943830	1395974	41294
a47bcf28-fa0e-4a2e-9d76-5f3eed3363d5	1	943830	CP050292.1	943830	1395974	41294
70fddae5-e629-4505-ac20-b8c4e07ce100	1	28090	CP046296.1	28090	469	468
ae66894d-200d-48cd-a8d5-14d34b861773	1	129951	M73260.1	129951	10509	10508
296da5d7-a5c9-4515-b871-7e16bba5fac0	1	943830	CP050292.1	943830	1395974	41294
d3ff15be-0ee3-44ae-a6fd-bb1b240ce6a1	1	1747	CP025935.1	1747	1912216	31957
5b98a0bc-8246-482a-ab97-8776eb59e6d8	1	2592815	CP041400.1	2592815	1395974	41294
46d6cf35-42ce-4d2f-bd04-b6c43cdfa57d	1	943830	CP050292.1	943830	1395974	41294
cdf4d101-b9b0-4652-a2a8-c125639c2a5e	1	562	CP026641.1	562	561	543
f27f80d0-8dbb-40be-8875-ce76b99c7c6d	1	943830	CP050292.1	943830	1395974	41294
14c8a28c-3d5a-42e2-8c21-221d82380d6e	1	943830	CP050292.1	943830	1395974	41294
2517204f-44b2-4c29-80d6-966b1c0c3fe0	1	2592817	CP041402.1	2592817	1395974	41294
02268297-de57-4e0a-96fc-33798f40ddfa	1	13690	CP060123.1	13690	165695	41297
6ffa7d44-7d4e-4165-b53b-7971f587fc13	1	562	CP020368.1	562	561	543
973d0043-7ef4-40c5-a066-865697e2addb	1	2743575	CP055277.1	2743575	469	468
7a85637e-7b6a-4ba9-8ec2-c7ed7c3e8f63	1	943830	CP050292.1	943830	1395974	41294
77a05609-96f6-4fa2-9c01-e65ddc9ad128	1	40214	CP022298.1	40214	469	468
ffe7b35d-ba42-4fdd-9ba9-042abb5b35a2	1	129951	AY339865.1	129951	10509	10508
059f9b8c-c35b-4e85-8d49-5b30d2234ca8	1	424800	CP048422.1	424800	13687	41297
59c689a4-203b-48f0-97d6-8b02f5ab881a	1	562	CP014268.2	562	561	543
